doc_uid,pmid,title,year,period,time_block,topic,node,mention_count,category,layer,type
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,clinical_trial,7,Clinical_Operations,Operational,Clinical Trial
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,data_integrity,1,Data,Governance,Data Integrity
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,roles_responsibilities,1,Governance,Governance,Roles and Responsibilities
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,quality_assurance,1,RBQM,Operational,Quality Assurance
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,corrective_preventive_action,1,Governance,Operational,CAPA
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,oversight,1,Clinical_Operations,Governance,Oversight
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,data_quality,1,Data,Quality,Data Quality
22145122,22145122,Quality of clinical trials: A moving target.,2011,Pre-COVID,Before 2015,0,adverse_event_reporting,1,Data,Safety,AE Reporting
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,clinical_trial,7,Clinical_Operations,Operational,Clinical Trial
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,data_integrity,1,Data,Governance,Data Integrity
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,governance,1,Governance,Governance,Governance
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,accountability,1,Governance,Governance,Accountability
26908541,26908541,"Lessons learned: Infrastructure development and financial management for large, publicly funded, international trials.",2016,Pre-COVID,2015-2019,1,centralized_monitoring,1,Monitoring,Operational,Central Monitoring
27297402,27297402,Phase III Preclinical Trials in Translational Stroke Research: Community Response on Framework and Guidelines.,2016,Pre-COVID,2015-2019,1,quality_assurance,2,RBQM,Operational,Quality Assurance
27297402,27297402,Phase III Preclinical Trials in Translational Stroke Research: Community Response on Framework and Guidelines.,2016,Pre-COVID,2015-2019,1,clinical_trial,1,Clinical_Operations,Operational,Clinical Trial
28814296,28814296,Quality assurance and best research practices for non-regulated veterinary clinical studies.,2017,Pre-COVID,2015-2019,0,quality_assurance,4,RBQM,Operational,Quality Assurance
28814296,28814296,Quality assurance and best research practices for non-regulated veterinary clinical studies.,2017,Pre-COVID,2015-2019,0,clinical_study,6,Clinical_Operations,Operational,Clinical Study
28814296,28814296,Quality assurance and best research practices for non-regulated veterinary clinical studies.,2017,Pre-COVID,2015-2019,0,clinical_trial,1,Clinical_Operations,Operational,Clinical Trial
28814296,28814296,Quality assurance and best research practices for non-regulated veterinary clinical studies.,2017,Pre-COVID,2015-2019,0,clinical_research,1,Clinical_Operations,Operational,Clinical Research
28814296,28814296,Quality assurance and best research practices for non-regulated veterinary clinical studies.,2017,Pre-COVID,2015-2019,0,regulatory_guideline,2,Governance,Governance,Guideline
28814296,28814296,Quality assurance and best research practices for non-regulated veterinary clinical studies.,2017,Pre-COVID,2015-2019,0,data_integrity,1,Data,Governance,Data Integrity
28814296,28814296,Quality assurance and best research practices for non-regulated veterinary clinical studies.,2017,Pre-COVID,2015-2019,0,oversight,1,Clinical_Operations,Governance,Oversight
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,clinical_quality_assurance,3,RBQM,Operational,Clinical QA
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,adverse_event_reporting,2,Data,Safety,AE Reporting
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,clinical_trial,2,Clinical_Operations,Operational,Clinical Trial
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,machine_learning,4,AI,Analytic,ML
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,regulatory_guideline,1,Governance,Governance,Guideline
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,data_integrity,1,Data,Governance,Data Integrity
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,adverse_event_underreporting,2,Data,Safety,AE Under-reporting
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,predictive_modeling,1,AI,Analytic,Predictive Modeling
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,oversight,1,Clinical_Operations,Governance,Oversight
31123940,31123940,Enabling Data-Driven Clinical Quality Assurance: Predicting Adverse Event Reporting in Clinical Trials Using Machine Learning.,2019,Pre-COVID,2015-2019,2,clinical_study,1,Clinical_Operations,Operational,Clinical Study
32865805,32865805,Harnessing the Power of Quality Assurance Data: Can We Use Statistical Modeling for Quality Risk Assessment of Clinical Trials?,2020,Post-COVID,2020-2023,2,quality_assurance,3,RBQM,Operational,Quality Assurance
32865805,32865805,Harnessing the Power of Quality Assurance Data: Can We Use Statistical Modeling for Quality Risk Assessment of Clinical Trials?,2020,Post-COVID,2020-2023,2,statistical_modeling,3,Statistics,Analytic,Statistical Modeling
32865805,32865805,Harnessing the Power of Quality Assurance Data: Can We Use Statistical Modeling for Quality Risk Assessment of Clinical Trials?,2020,Post-COVID,2020-2023,2,quality_risk_assessment,2,Risk,Governance,Quality Risk Assessment
32865805,32865805,Harnessing the Power of Quality Assurance Data: Can We Use Statistical Modeling for Quality Risk Assessment of Clinical Trials?,2020,Post-COVID,2020-2023,2,clinical_trial,3,Clinical_Operations,Operational,Clinical Trial
32865805,32865805,Harnessing the Power of Quality Assurance Data: Can We Use Statistical Modeling for Quality Risk Assessment of Clinical Trials?,2020,Post-COVID,2020-2023,2,data_integrity,2,Data,Governance,Data Integrity
32865805,32865805,Harnessing the Power of Quality Assurance Data: Can We Use Statistical Modeling for Quality Risk Assessment of Clinical Trials?,2020,Post-COVID,2020-2023,2,sponsor_oversight,1,Governance,Governance,Sponsor Oversight
32865805,32865805,Harnessing the Power of Quality Assurance Data: Can We Use Statistical Modeling for Quality Risk Assessment of Clinical Trials?,2020,Post-COVID,2020-2023,2,clinical_quality_assurance,1,RBQM,Operational,Clinical QA
32865805,32865805,Harnessing the Power of Quality Assurance Data: Can We Use Statistical Modeling for Quality Risk Assessment of Clinical Trials?,2020,Post-COVID,2020-2023,2,interpretability,1,AI,Governance,Interpretability
34074706,34074706,Institutionally chartered Data and Safety Monitoring Boards: structured approaches to assuring participant safety in clinical research.,2021,Post-COVID,2020-2023,0,clinical_research,2,Clinical_Operations,Operational,Clinical Research
34074706,34074706,Institutionally chartered Data and Safety Monitoring Boards: structured approaches to assuring participant safety in clinical research.,2021,Post-COVID,2020-2023,0,clinical_trial,1,Clinical_Operations,Operational,Clinical Trial
34074706,34074706,Institutionally chartered Data and Safety Monitoring Boards: structured approaches to assuring participant safety in clinical research.,2021,Post-COVID,2020-2023,0,site_monitoring,1,Monitoring,Operational,Site Monitoring
34074706,34074706,Institutionally chartered Data and Safety Monitoring Boards: structured approaches to assuring participant safety in clinical research.,2021,Post-COVID,2020-2023,0,oversight,1,Clinical_Operations,Governance,Oversight
34074706,34074706,Institutionally chartered Data and Safety Monitoring Boards: structured approaches to assuring participant safety in clinical research.,2021,Post-COVID,2020-2023,0,data_integrity,1,Data,Governance,Data Integrity
35262899,35262899,Statistical Modeling for Quality Risk Assessment of Clinical Trials: Follow-Up at the Era of Remote Auditing.,2022,Post-COVID,2020-2023,3,statistical_modeling,3,Statistics,Analytic,Statistical Modeling
35262899,35262899,Statistical Modeling for Quality Risk Assessment of Clinical Trials: Follow-Up at the Era of Remote Auditing.,2022,Post-COVID,2020-2023,3,quality_risk_assessment,2,Risk,Governance,Quality Risk Assessment
35262899,35262899,Statistical Modeling for Quality Risk Assessment of Clinical Trials: Follow-Up at the Era of Remote Auditing.,2022,Post-COVID,2020-2023,3,clinical_trial,4,Clinical_Operations,Operational,Clinical Trial
35262899,35262899,Statistical Modeling for Quality Risk Assessment of Clinical Trials: Follow-Up at the Era of Remote Auditing.,2022,Post-COVID,2020-2023,3,remote_auditing,2,Monitoring,Audit,Remote Auditing
35262899,35262899,Statistical Modeling for Quality Risk Assessment of Clinical Trials: Follow-Up at the Era of Remote Auditing.,2022,Post-COVID,2020-2023,3,quality_assurance,1,RBQM,Operational,Quality Assurance
35262899,35262899,Statistical Modeling for Quality Risk Assessment of Clinical Trials: Follow-Up at the Era of Remote Auditing.,2022,Post-COVID,2020-2023,3,data_integrity,1,Data,Governance,Data Integrity
35262899,35262899,Statistical Modeling for Quality Risk Assessment of Clinical Trials: Follow-Up at the Era of Remote Auditing.,2022,Post-COVID,2020-2023,3,interpretability,1,AI,Governance,Interpretability
35725614,35725614,Leveraging WHO's Global Benchmarking Tool to strengthen capacity in clinical trials oversight for public health emergencies: the GHPP VaccTrain model.,2022,Post-COVID,2020-2023,1,clinical_trial,4,Clinical_Operations,Operational,Clinical Trial
35725614,35725614,Leveraging WHO's Global Benchmarking Tool to strengthen capacity in clinical trials oversight for public health emergencies: the GHPP VaccTrain model.,2022,Post-COVID,2020-2023,1,oversight,4,Clinical_Operations,Governance,Oversight
35725614,35725614,Leveraging WHO's Global Benchmarking Tool to strengthen capacity in clinical trials oversight for public health emergencies: the GHPP VaccTrain model.,2022,Post-COVID,2020-2023,1,technical_support,1,Data,Operational,Technical Support
36258219,36258219,"Experiences of the Data Monitoring Committee for the RECOVERY trial, a large-scale adaptive platform randomised trial of treatments for patients hospitalised with COVID-19.",2022,Post-COVID,2020-2023,1,backup_recovery,4,Data,Resilience,Backup/Recovery
36258219,36258219,"Experiences of the Data Monitoring Committee for the RECOVERY trial, a large-scale adaptive platform randomised trial of treatments for patients hospitalised with COVID-19.",2022,Post-COVID,2020-2023,1,oversight,1,Clinical_Operations,Governance,Oversight
36258219,36258219,"Experiences of the Data Monitoring Committee for the RECOVERY trial, a large-scale adaptive platform randomised trial of treatments for patients hospitalised with COVID-19.",2022,Post-COVID,2020-2023,1,clinical_trial,2,Clinical_Operations,Operational,Clinical Trial
37267325,37267325,A quality management system aiming to ensure regulatory-grade data quality in a glaucoma registry.,2023,Post-COVID,2020-2023,3,data_quality,4,Data,Quality,Data Quality
37267325,37267325,A quality management system aiming to ensure regulatory-grade data quality in a glaucoma registry.,2023,Post-COVID,2020-2023,3,clinical_trial,1,Clinical_Operations,Operational,Clinical Trial
37267325,37267325,A quality management system aiming to ensure regulatory-grade data quality in a glaucoma registry.,2023,Post-COVID,2020-2023,3,governance,2,Governance,Governance,Governance
37267325,37267325,A quality management system aiming to ensure regulatory-grade data quality in a glaucoma registry.,2023,Post-COVID,2020-2023,3,computerized_system,1,Data,System,Computerized System
37267325,37267325,A quality management system aiming to ensure regulatory-grade data quality in a glaucoma registry.,2023,Post-COVID,2020-2023,3,computerized_systems_validation,2,Governance,Governance,CSV
37267325,37267325,A quality management system aiming to ensure regulatory-grade data quality in a glaucoma registry.,2023,Post-COVID,2020-2023,3,critical_to_quality,2,RBQM,Design,CTQ
37267325,37267325,A quality management system aiming to ensure regulatory-grade data quality in a glaucoma registry.,2023,Post-COVID,2020-2023,3,risk_based_monitoring,1,Monitoring,Operational,RBM
38796099,38796099,Assessing the performance of methods for central statistical monitoring of a binary or continuous outcome in multi-center trials: A simulation study.,2024,Post-COVID,2024-current,2,central_statistical_monitoring,3,Monitoring,Analytic,CSM
38796099,38796099,Assessing the performance of methods for central statistical monitoring of a binary or continuous outcome in multi-center trials: A simulation study.,2024,Post-COVID,2024-current,2,data_integrity,1,Data,Governance,Data Integrity
38796099,38796099,Assessing the performance of methods for central statistical monitoring of a binary or continuous outcome in multi-center trials: A simulation study.,2024,Post-COVID,2024-current,2,risk_based_monitoring,2,Monitoring,Operational,RBM
38796099,38796099,Assessing the performance of methods for central statistical monitoring of a binary or continuous outcome in multi-center trials: A simulation study.,2024,Post-COVID,2024-current,2,clinical_trial,1,Clinical_Operations,Operational,Clinical Trial
38796099,38796099,Assessing the performance of methods for central statistical monitoring of a binary or continuous outcome in multi-center trials: A simulation study.,2024,Post-COVID,2024-current,2,outlier_detection,1,AI,Analytic,Outlier Detection
40000584,40000584,Optimizing Quality Tolerance Limits Monitoring in Clinical Trials Through Machine Learning Methods.,2025,Post-COVID,2024-current,2,quality_tolerance_limit,10,Risk,Governance,QTL
40000584,40000584,Optimizing Quality Tolerance Limits Monitoring in Clinical Trials Through Machine Learning Methods.,2025,Post-COVID,2024-current,2,clinical_trial,3,Clinical_Operations,Operational,Clinical Trial
40000584,40000584,Optimizing Quality Tolerance Limits Monitoring in Clinical Trials Through Machine Learning Methods.,2025,Post-COVID,2024-current,2,machine_learning,5,AI,Analytic,ML
40000584,40000584,Optimizing Quality Tolerance Limits Monitoring in Clinical Trials Through Machine Learning Methods.,2025,Post-COVID,2024-current,2,site_monitoring,1,Monitoring,Operational,Site Monitoring
40000584,40000584,Optimizing Quality Tolerance Limits Monitoring in Clinical Trials Through Machine Learning Methods.,2025,Post-COVID,2024-current,2,risk_based_monitoring,3,Monitoring,Operational,RBM
40000584,40000584,Optimizing Quality Tolerance Limits Monitoring in Clinical Trials Through Machine Learning Methods.,2025,Post-COVID,2024-current,2,source_data_verification,2,Monitoring,Operational,SDV
40000584,40000584,Optimizing Quality Tolerance Limits Monitoring in Clinical Trials Through Machine Learning Methods.,2025,Post-COVID,2024-current,2,quality_assurance,2,RBQM,Operational,Quality Assurance
40000584,40000584,Optimizing Quality Tolerance Limits Monitoring in Clinical Trials Through Machine Learning Methods.,2025,Post-COVID,2024-current,2,data_integrity,1,Data,Governance,Data Integrity
41426562,41426562,Blockchain-enabled quality by design system for clinical trials.,2025,Post-COVID,2024-current,0,quality_by_design,8,RBQM,Design,QbD
41426562,41426562,Blockchain-enabled quality by design system for clinical trials.,2025,Post-COVID,2024-current,0,clinical_trial,6,Clinical_Operations,Operational,Clinical Trial
41426562,41426562,Blockchain-enabled quality by design system for clinical trials.,2025,Post-COVID,2024-current,0,data_integrity,1,Data,Governance,Data Integrity
41426562,41426562,Blockchain-enabled quality by design system for clinical trials.,2025,Post-COVID,2024-current,0,governance_traceability,1,Governance,Governance,Traceability
